,0,1
0,・映画『おかえり、はやぶさ』-作品情報【関連記事】・藤原竜也、杏ら日本の俳優のスケールでは宇宙に行けない・「はやぶさ」のグルメ登場,行く
1,イギリスの普遍的な文化の一部として多くの国民に愛されるこの物語の映画化に参加できたのは、とても光栄なことだと思っている,できる
2,トム・ヒドルストンコメントこの映画に参加できたことも、ロイヤル・プレミアに来られたことも、すごく嬉しく思っている,できる
3,このみんなの為に何かができる、みんなを守れるのがやっぱり真のキャプテンですよね,できる
4,自分にできることは、作品に出演して、自分が演じているキャラクターをいかに作り上げるのか考えることに神経を注ぐこと,できる
5,お互いを理解し合っているという風に思えたし、ユーモアのセンスも似ていたしね,思う
6,今回はこれまでの自分の芝居以上にもっとできるかもしれない、もっとやりたいと言える現場だった,できる
7,それに監督も真正面から向き合ってくれたし、よりキャスカに近づけたんじゃないかと思う,近づく
8,トイレに一人で行けなくて、一緒に来てもらった」と初の恐怖メイクにビビりまくり,行く
9,正しい選択を続けてHAPPYENDに辿りつけたら“褒賞”に応募できる秘密のキーワードを確認できるぞ,できる
10,ローガン：全くその通りで、本当にラッキーだったのは友達になれたことです,なる
11,いろんな宮殿や城下町に滞在できて、貴重な経験になりました,できる
12,——ガブリエラさんは、飛行船の船首にくくりつけられるシーンもありましたが、高い所は平気でしたか,くくる
13,アイドルとして、ひとりの人間として、今、自分たちにできること…,できる
14,モリアーティを止めようとするホームズとワトソンは、反撃に出たモリアーティがヨーロッパ中に張り巡らせた巧妙な罠をくぐり抜け、ついに決戦の地・スイスへと辿り着く,張り巡らす
15,」というコピーからは、彼らの予測不可能な巨大すぎる力が、地球をさらなる危機に陥れてしまう恐れがあるほど“強力”であり、集結するには危険すぎるヒーローたちであることがうかがえる,陥る
16,」と述べ、今後の音楽活動については「ライブが楽しかったので、曲を出しつつ、ライブに力いれていきたい」と語った,いる
17,・応募に関する注意事項に同意いただける方,いただく
18,・応募に関する注意事項に同意いただける方,いただく
19,「事前に準備できるようなものを与えないから、その場で与えられた状況に沿って他の役者と即興で演じてもらった」と言うように、ジョセフとリンが見事勝ち取ったオーディションもまた“即興”で行われた,できる
20,裸で絡み合う予告編公開永山絢斗と田畑智子がダブル主演する映画『ふがいない僕は空を見た』（11月17日公開）の予告編が公開され、心に抱える闇や寂しさを埋めるかのように情事にふける主人公たちの姿が明らかになった,ふく
21,僕もああいう風に子供にちゃんと言えたらなと思いました,言う
22,広島での完成披露に登壇できなかった主演の谷村美月からはビデオメッセージが寄せられ、「初めてのアクションで、初めてづくしの映画だったのですが、長野じゅりあちゃんとも支え合うことができて、すごく良い作品に仕上がりました」と共演者の長野を讃えた,できる
23,しかし、自由のない時代に様々な苦しみを抱えて生きるメイドたちこそ、声にできない自分たちの叫びを聞いてくれる誰かの“ヘルプ”を必要としていた,できる
24,"配給：松竹・『おかえり、はやぶさ』映画オフィシャルサイトDVD＆ブルーレイ『はやぶさ/HAYABUSA』3月7日発売3,990円（税込）発売元：20世紀フォックスホームエンターテインメントジャパン・映画「はやぶさ／HAYABUSA」公式サイト3.7（水）ブルーレイ＆DVDONSALE映画『はやぶさ遥かなる帰還』配給：東映・映画『はやぶさ遥かなる帰還』公式サイト■関連記事・インタビュー：藤原竜也＆杏「子供って本当にストレートなものを持っている」・藤原竜也、東北・石巻から熱烈歓迎・「はやぶさ」が“かなり飛び出る3D駅貼ポスター”、都内に登場・藤原竜也、中学生とともにロケット打ち上げに成功・藤原竜也、杏ら日本の俳優のスケールでは宇宙に行けない",行く
25,」と監督に照れながら笑顔で話す姿も,照る
26,また、車好きで国内のA級ライセンスを所持している三平は、カードを披露し、車が主役の本作のCMに出演できた喜びも語った,できる
27,意見が真っ二つに割れる映画『カーズ2』・Perfumeが『カーズ2』について、セクシー美脚をのばしながら女子トーク・Perfumeの“浴衣姿”にジローラモも釘付け,割る
28,本作の日本語吹き替え版を担当する中川翔子は「しゃべる度に魂が抜けていきます,抜く
29,その効果を存分に体感できそうな3Dアトラクション・ホラー映画『ファイナル・デッドブリッジ』が10月1日から公開される,できる
30,日本でもこれまでの映画にない世界観や設定で興味を喚起できたのか、公開初日から10から30代の若い世代の高い集客につながっている,できる
31,英語は的確に物事を伝える言語ですし、日本語は後ろにどんどん補足できる言語ですから、どう伝えていけばよいかすごく考えました,できる
32,でも、難しいことに出会えるのは勉強になりますので、良かったと思います,出会う
33,日常に生き甲斐を見出せない人や、人から見た自分の姿に不安を感じる人なども、ラリーやメルセデス、そして彼らを取り巻くクラスメート達の姿を通じて、人の数だけ異なる自分にとっての“幸せ”の形に気付かされ、明日が好きになるでしょう,見出す
34,タイトルだけを聞くと、ただのサーフ・ムービーに思えるが、それだけでは終わらせない本作の魅力がある,思う
