,0
0,行く
1,できる
2,できる
3,できる
4,できる
5,思う
6,できる
7,近づく
8,行く
9,できる
10,なる
11,できる
12,くくる
13,できる
14,張り巡らす
15,陥る
16,いる
17,いただく
18,いただく
19,できる
20,ふく
21,言う
22,できる
23,できる
24,行く
25,照る
26,できる
27,割る
28,抜く
29,できる
30,できる
31,できる
32,出会う
33,見出す
34,思う
35,つく
36,勇気づく
37,らる
38,踏み入る
39,ふる
40,いただく
41,できる
42,着く
43,撮る
44,いる
45,売る
46,つく
47,破る
48,わく
49,踏み入る
50,つく
51,いただく
52,近づく
53,取り付く
54,できる
55,できる
56,絡む
57,来る
58,近づく
59,できる
60,できる
61,なる
62,浮かぶ
63,会う
64,言う
65,いただく
66,封じ込む
67,らる
68,できる
69,立つ
70,取り組む
71,たどりつく
72,震わす
73,言う
74,勇気づく
75,らる
76,唱う
77,巡らす
78,砕く
79,いただく
80,立つ
81,できる
82,できる
83,できる
84,できる
85,できる
86,なる
87,割る
88,できる
89,できる
90,会う
91,行く
92,会う
93,できる
94,なる
95,できる
96,なる
97,添う
98,溶く
99,開く
100,選ぶ
101,唱う
102,できる
103,運ぶ
104,掴む
105,できる
106,開く
107,なる
108,楽しむ
109,思う
110,言う
111,できる
112,いただく
113,なる
114,言う
115,過ごす
116,できる
117,持ち込む
118,住む
119,住む
120,つく
121,光らす
122,会う
123,できる
124,思う
125,いただく
126,楽しむ
127,できる
128,できる
129,いただく
130,立ち向かう
131,添う
132,できる
133,巡り会う
134,できる
135,できる
136,できる
137,なる
138,楽しむ
139,いただく
140,なる
141,戻る
142,会う
143,会う
144,できる
145,聞く
146,できる
147,出会う
148,いただく
149,移る
150,着く
151,なる
152,つく
153,陥る
154,つく
155,なる
156,なる
157,添う
158,言う
159,つく
160,近付く
161,なる
162,馴染む
163,立つ
164,いただく
165,行く
166,楽しむ
167,勇気づく
168,できる
169,抜く
170,戻る
171,出会う
172,出会う
173,過ごす
174,会う
175,できる
176,返り咲く
177,揃う
178,進む
179,乗る
180,持ち込む
181,行く
182,できる
183,つく
184,なる
185,いる
186,できる
187,潜む
188,焼き付く
189,着く
190,添う
191,楽しむ
192,会う
193,会う
194,できる
195,できる
196,割る
197,できる
198,絡む
199,つく
200,つく
201,つく
202,楽しむ
203,なじむ
204,帰る
205,できる
206,なる
207,なる
208,なる
209,戻す
210,できる
211,楽しむ
212,つく
213,つく
214,創る
215,できる
216,いただく
217,いただく
218,役立つ
219,行く
220,できる
221,つく
222,なる
223,寄り添う
224,繋ぐ
225,できる
226,なる
227,楽しむ
228,開く
229,使う
230,入り込む
231,できる
232,できる
233,つく
234,透く
235,できる
236,つく
237,戻る
238,持つ
239,なる
240,できる
241,解く
242,つく
243,できる
244,勝つ
245,使う
246,なる
247,いただく
248,つく
249,できる
250,あく
251,できる
252,なる
253,楽しむ
254,つく
255,いただく
256,くる
257,できる
258,立つ
259,行く
260,会う
261,欠く
262,添う
263,なる
264,なる
265,できる
266,いただく
267,いただく
268,会う
269,会う
270,楽しむ
271,わく
272,着く
273,なる
274,立つ
275,弾く
276,泣く
277,できる
278,いただく
279,漏る
280,つく
281,できる
282,漏る
283,できる
284,押し込む
285,る
286,会う
287,行く
288,つく
289,できる
290,戻る
291,響かす
292,できる
293,戦う
294,つく
295,踏み入る
296,来る
297,つく
298,つく
299,行く
300,並ぶ
301,らる
302,詰む
303,いる
304,いただく
305,陥る
306,痛む
307,漏る
308,楽しむ
309,なる
310,入り込む
311,できる
312,見る
313,添う
314,なる
315,なる
316,いただく
317,なる
318,進む
319,売る
320,できる
321,なる
322,できる
323,できる
324,張り付く
325,できる
326,読む
327,含む
328,つく
329,撮る
330,できる
331,出会う
332,照る
333,見る
334,見る
335,できる
336,引き出す
337,使う
338,できる
339,できる
340,戻す
341,書く
342,わる
343,できる
344,できる
345,読む
346,あきる
347,読む
348,出会う
349,できる
350,取る
351,できる
352,できる
353,できる
354,読む
355,できる
356,できる
357,出す
358,使う
359,やむ
360,読む
361,できる
362,読む
363,できる
364,使う
365,取り付く
366,できる
367,出会う
368,戻す
369,できる
370,進む
371,できる
372,できる
373,行く
374,張り付く
375,戻す
376,送る
377,できる
378,できる
379,できる
380,欠く
381,読む
382,使う
383,つく
384,行く
385,使う
386,できる
387,できる
388,使う
389,できる
390,並ぶ
391,読む
392,できる
393,できる
394,できる
395,読む
396,使う
397,できる
398,できる
399,読む
400,できる
401,使う
402,読む
403,持ち運ぶ
404,できる
405,親しむ
