,0,1,2
0,・映画『おかえり、はやぶさ』-作品情報【関連記事】・藤原竜也、杏ら日本の俳優のスケールでは宇宙に行けない・「はやぶさ」のグルメ登場,行く,n
1,イギリスの普遍的な文化の一部として多くの国民に愛されるこの物語の映画化に参加できたのは、とても光栄なことだと思っている,できる,n
2,トム・ヒドルストンコメントこの映画に参加できたことも、ロイヤル・プレミアに来られたことも、すごく嬉しく思っている,できる,n
3,このみんなの為に何かができる、みんなを守れるのがやっぱり真のキャプテンですよね,できる,n
4,自分にできることは、作品に出演して、自分が演じているキャラクターをいかに作り上げるのか考えることに神経を注ぐこと,できる,y
5,お互いを理解し合っているという風に思えたし、ユーモアのセンスも似ていたしね,思う,n
6,今回はこれまでの自分の芝居以上にもっとできるかもしれない、もっとやりたいと言える現場だった,できる,n
7,それに監督も真正面から向き合ってくれたし、よりキャスカに近づけたんじゃないかと思う,近づく,n
8,トイレに一人で行けなくて、一緒に来てもらった」と初の恐怖メイクにビビりまくり,行く,n
9,正しい選択を続けてHAPPYENDに辿りつけたら“褒賞”に応募できる秘密のキーワードを確認できるぞ,できる,n
10,ローガン：全くその通りで、本当にラッキーだったのは友達になれたことです,なる,n
11,いろんな宮殿や城下町に滞在できて、貴重な経験になりました,できる,n
12,——ガブリエラさんは、飛行船の船首にくくりつけられるシーンもありましたが、高い所は平気でしたか,くくる,n
13,アイドルとして、ひとりの人間として、今、自分たちにできること…,できる,y
14,モリアーティを止めようとするホームズとワトソンは、反撃に出たモリアーティがヨーロッパ中に張り巡らせた巧妙な罠をくぐり抜け、ついに決戦の地・スイスへと辿り着く,張り巡らす,n
15,」というコピーからは、彼らの予測不可能な巨大すぎる力が、地球をさらなる危機に陥れてしまう恐れがあるほど“強力”であり、集結するには危険すぎるヒーローたちであることがうかがえる,陥る,n
16,」と述べ、今後の音楽活動については「ライブが楽しかったので、曲を出しつつ、ライブに力いれていきたい」と語った,いる,n
17,・応募に関する注意事項に同意いただける方,いただく,n
18,・応募に関する注意事項に同意いただける方,いただく,n
19,「事前に準備できるようなものを与えないから、その場で与えられた状況に沿って他の役者と即興で演じてもらった」と言うように、ジョセフとリンが見事勝ち取ったオーディションもまた“即興”で行われた,できる,n
