,word,num,dsc_num,skip,pca_vec,cluster
0,行く,42,0,False,[ 6.88703511 16.39290907],1
1,できる,996,15,False,[ 5.72747467 -1.98329333],2
2,思う,30,0,False,[-0.02543583  5.08009909],1
3,近づく,25,0,False,[2.8721356 8.05825  ],1
4,なる,218,0,False,[7.2174886 4.3291879],1
5,くくる,2,0,False,[-6.51459796 -1.78439815],0
6,張り巡らす,1,0,False,[-6.66706997 -1.82364737],0
7,陥る,3,0,False,[1.325235   5.94790519],1
8,いる,33,0,False,[-1.37228335  6.52711025],1
9,いただく,50,0,False,[-2.71489664  0.11829032],0
10,ふく,1,0,False,[-12.0169558   -2.71836256],0
11,言う,24,1,False,[3.69681618 0.8367001 ],2
12,照る,2,0,False,[-6.99896094 -1.00504595],0
13,割る,4,0,False,[ 2.95530417 -3.10955255],2
14,抜く,13,0,False,[ 4.9249349  -2.52004826],2
15,出会う,49,0,False,[0.81043328 9.82967005],1
16,見出す,2,0,False,[ 6.2149679  -3.89236272],2
17,ふる,6,0,False,[-6.79760538  0.12943816],0
18,着く,10,0,False,[ 1.17577406 10.62754779],1
19,撮る,18,1,False,[ 4.92776588 -0.93790583],2
20,売る,26,0,False,[ 6.03858764 -0.3419138 ],2
21,破る,3,0,False,[ 5.3014849  -4.50358364],2
22,わく,10,0,False,[-7.65406815 -1.00344482],0
23,つく,1,0,False,[3.21425362 2.42144041],1
24,絡む,5,0,False,[-1.13774128 -0.46027681],0
25,来る,5,0,False,[ 4.07376968 12.03072167],1
26,浮かぶ,3,0,False,[-2.95882506  3.4747011 ],0
27,会う,26,0,False,[ 4.38785695 11.44328058],1
28,立つ,28,0,False,[4.09404084 5.38462769],1
29,取り組む,4,0,False,[2.03442909 2.81398273],1
30,たどりつく,2,0,False,[-5.50886684  0.66210105],0
31,震わす,1,0,False,[-7.03007988 -1.68812056],0
32,巡らす,3,0,False,[-5.50699688 -1.41957811],0
33,砕く,1,0,False,[-2.75853033 -1.85949026],0
34,添う,29,0,False,[-6.07968176 -1.22055188],0
35,開く,12,0,False,[6.69881972 1.47503092],2
36,選ぶ,6,0,False,[ 8.16766506 -3.6899251 ],2
37,運ぶ,4,0,False,[7.91086856 1.63631413],2
38,掴む,1,0,False,[ 4.40576943 -2.51521001],2
39,楽しむ,56,3,False,[ 9.65291491 -0.49979175],2
40,過ごす,5,0,False,[6.68205167 6.59868129],1
41,持ち込む,4,0,False,[ 4.99903812 -0.36786325],2
42,住む,4,0,False,[-2.14768404  8.16397257],1
43,立ち向かう,1,0,False,[1.03607674 4.42823917],1
44,巡り会う,1,0,False,[-7.06420329 -1.35519619],0
45,戻る,17,0,False,[ 5.32593281 13.95881908],1
46,聞く,1,0,False,[6.50156133 3.23745519],2
47,移る,2,0,False,[1.64061948 8.62673133],1
48,近付く,6,0,False,[-2.04823401  2.89779879],0
49,馴染む,9,0,False,[-4.9914373  -0.65101982],0
50,返り咲く,1,0,False,[-4.26670986  0.96131181],0
51,揃う,5,0,False,[-0.41090044  0.72864829],0
52,進む,34,0,False,[4.19668539 8.5292797 ],1
53,乗る,11,0,False,[3.66225785 6.00727533],1
54,潜む,1,0,False,[-2.8805862   2.06957669],0
55,焼き付く,3,0,False,[-7.20898154 -1.66605665],0
56,なじむ,2,0,False,[-5.77021568 -1.07936922],0
57,帰る,8,0,False,[ 3.36372691 17.44742287],1
58,戻す,8,0,False,[7.62951176 3.22176877],1
59,創る,1,0,False,[ 0.08700831 -2.55841874],0
60,役立つ,17,0,False,[-0.59480966 -0.68974232],0
61,寄り添う,1,0,False,[-4.50235958  0.36324524],0
62,繋ぐ,16,0,False,[ 4.70045135 -2.73848673],2
63,使う,120,0,False,[12.04125348 -5.46312958],2
64,入り込む,4,0,False,[0.74992262 2.70748282],1
